epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.076,1.57393,2.76328,1.46714,0.74446,0.08182,0.17174,0.08076,1.815,3.28868,1.49318,0.00058,0.00058,0.00058
2,826.419,1.56266,2.04412,1.43846,0.64194,0.0697,0.15179,0.0736,1.75318,3.26214,1.84847,0.00116832,0.00116832,0.00116832
3,1192.01,1.63809,2.0239,1.52536,0.33191,0.26667,0.19756,0.0904,1.76561,3.06871,1.84751,0.00174476,0.00174476,0.00174476
4,1539.01,1.66035,1.93533,1.5187,0.4642,0.46364,0.40835,0.18342,1.84026,3.63118,1.98956,0.0019406,0.0019406,0.0019406
5,1897.15,1.60949,1.74428,1.4742,0.48725,0.44242,0.46604,0.22428,1.70768,2.36259,1.68303,0.0019208,0.0019208,0.0019208
6,2317.06,1.57092,1.698,1.46039,0.56011,0.45758,0.48905,0.24973,1.60327,2.6566,1.58557,0.001901,0.001901,0.001901
7,2784.24,1.54736,1.67004,1.44998,0.64528,0.49697,0.53115,0.26296,1.59154,3.91961,1.57448,0.0018812,0.0018812,0.0018812
8,3106.7,1.5665,1.59319,1.44693,0.56386,0.51515,0.51553,0.24568,1.7004,3.19021,1.60425,0.0018614,0.0018614,0.0018614
9,3357.75,1.56407,1.59948,1.4487,0.62184,0.53939,0.544,0.29161,1.60898,1.89146,1.55184,0.0018416,0.0018416,0.0018416
10,3599.74,1.51182,1.51909,1.41992,0.616,0.56667,0.60051,0.31862,1.62203,1.69283,1.55955,0.0018218,0.0018218,0.0018218
11,3835.26,1.41671,1.77349,1.35623,0.63085,0.52121,0.56223,0.29293,1.55381,1.7357,1.48013,0.001802,0.001802,0.001802
12,4074.05,1.44257,1.40323,1.35609,0.62675,0.54545,0.57914,0.32485,1.51134,1.91503,1.44548,0.0017822,0.0017822,0.0017822
13,4313.14,1.48863,1.42166,1.41259,0.65692,0.56364,0.62411,0.34707,1.54075,1.5549,1.50184,0.0017624,0.0017624,0.0017624
14,4546.64,1.44653,1.37912,1.39052,0.69122,0.52121,0.61188,0.33135,1.5722,1.63634,1.57317,0.0017426,0.0017426,0.0017426
15,4780.62,1.38419,1.29313,1.34052,0.67483,0.58788,0.65531,0.35694,1.43662,1.40228,1.38974,0.0017228,0.0017228,0.0017228
16,5016.42,1.40185,1.33024,1.33549,0.64576,0.51818,0.57835,0.33035,1.53019,1.59895,1.44756,0.001703,0.001703,0.001703
17,5254.25,1.43462,1.35017,1.36385,0.63426,0.63587,0.64331,0.35877,1.47547,1.50039,1.42616,0.0016832,0.0016832,0.0016832
18,5495.15,1.37959,1.27733,1.32632,0.74841,0.59091,0.67135,0.37879,1.5004,1.40685,1.46668,0.0016634,0.0016634,0.0016634
19,5731.41,1.39019,1.28724,1.3252,0.71338,0.55059,0.64361,0.35861,1.53388,1.45108,1.4543,0.0016436,0.0016436,0.0016436
20,5965,1.3853,1.23061,1.3268,0.67185,0.59394,0.63779,0.33279,1.61872,1.5427,1.48767,0.0016238,0.0016238,0.0016238
21,6202.49,1.36074,1.23225,1.32138,0.71135,0.60491,0.67366,0.37871,1.49655,1.37613,1.44416,0.001604,0.001604,0.001604
22,6439.35,1.3011,1.13148,1.28366,0.69311,0.60912,0.68051,0.3842,1.4781,1.31486,1.43236,0.0015842,0.0015842,0.0015842
23,6675.65,1.33747,1.20194,1.31434,0.68561,0.60303,0.67212,0.36816,1.56547,1.35791,1.46702,0.0015644,0.0015644,0.0015644
24,6911.27,1.29863,1.15968,1.29476,0.67099,0.6303,0.67669,0.39564,1.49511,1.29076,1.45149,0.0015446,0.0015446,0.0015446
25,7150.64,1.35115,1.13422,1.29521,0.75537,0.58948,0.6999,0.39313,1.49093,1.28717,1.41893,0.0015248,0.0015248,0.0015248
26,7388.41,1.31687,1.12606,1.2794,0.73155,0.59091,0.66841,0.37327,1.43066,1.3936,1.39893,0.001505,0.001505,0.001505
27,7622.35,1.34666,1.1592,1.31156,0.69729,0.6,0.67087,0.37131,1.50717,1.50004,1.43896,0.0014852,0.0014852,0.0014852
28,7859.79,1.37657,1.37877,1.3604,0.7647,0.59088,0.69093,0.39117,1.51422,1.33709,1.42875,0.0014654,0.0014654,0.0014654
29,8093.91,1.25482,1.07299,1.24558,0.77378,0.5908,0.69361,0.39952,1.48105,1.28834,1.43393,0.0014456,0.0014456,0.0014456
30,8329.63,1.26912,1.04898,1.25471,0.77216,0.64848,0.6936,0.39209,1.47132,1.28565,1.4209,0.0014258,0.0014258,0.0014258
31,8565.8,1.26382,1.07391,1.2498,0.7108,0.61818,0.68362,0.39066,1.46747,1.27576,1.43423,0.001406,0.001406,0.001406
32,8800.12,1.26498,1.02043,1.23977,0.75434,0.63636,0.74374,0.43318,1.44156,1.21227,1.40025,0.0013862,0.0013862,0.0013862
33,9033.04,1.24285,1.07017,1.22047,0.78325,0.56061,0.67509,0.37736,1.52122,1.3349,1.49984,0.0013664,0.0013664,0.0013664
34,9266.68,1.25238,1.05627,1.24277,0.75443,0.61444,0.69535,0.38472,1.47558,1.28282,1.45329,0.0013466,0.0013466,0.0013466
35,9499.54,1.22941,1.03461,1.23876,0.79411,0.6545,0.72894,0.43694,1.38748,1.14801,1.35712,0.0013268,0.0013268,0.0013268
36,9736.76,1.23103,1.02746,1.22748,0.78645,0.64242,0.71596,0.40564,1.43346,1.24624,1.38986,0.001307,0.001307,0.001307
37,9979.05,1.24,1.0542,1.22901,0.71119,0.67273,0.71531,0.41518,1.38583,1.22013,1.33161,0.0012872,0.0012872,0.0012872
38,10219.3,1.16781,0.97604,1.20356,0.78254,0.62121,0.70556,0.40277,1.45567,1.27518,1.40403,0.0012674,0.0012674,0.0012674
